time_s,command,measurement_rpm,speed_rpm
1.4100,0.43698,1197.149,1195.341
1.4200,0.40585,1201.291,1191.786
1.4300,0.52001,1192.503,1199.366
1.4400,0.45999,1191.409,1200.888
1.4500,0.42397,1194.388,1198.882
1.4600,0.42839,1196.508,1197.374
1.4700,0.43793,1197.321,1196.840
1.4800,0.45556,1196.123,1198.025
1.4900,0.42657,1198.236,1196.372
1.5000,0.44132,1198.475,1196.200
1.5100,0.46056,1196.601,1197.890
1.5200,0.38664,1202.999,1192.391
1.5300,0.45401,1201.234,1193.585
1.5400,0.47029,1197.936,1196.307
1.5500,0.45001,1197.280,1196.976
1.5600,0.45074,1196.640,1197.691
1.5700,0.44473,1196.746,1197.800
1.5800,0.50614,1190.189,1203.828
1.5900,0.43371,1192.382,1202.656
1.6000,0.40448,1197.472,1198.707
1.6100,0.46936,1194.859,1201.156
1.6200,0.43561,1196.267,1200.263
1.6300,0.41575,1199.649,1197.487
1.6400,0.42807,1201.249,1195.997
1.6500,0.41856,1203.664,1193.644
1.6600,0.50013,1196.906,1199.241
1.6700,0.44890,1196.606,1199.698
1.6800,0.44732,1196.527,1199.987
1.6900,0.42442,1198.950,1198.057
1.7000,0.42072,1201.456,1195.838
1.7100,0.51556,1193.345,1202.844
1.7200,0.40382,1198.441,1198.825
1.7300,0.47713,1194.918,1202.018
1.7400,0.41694,1198.401,1199.294
1.7500,0.47720,1194.894,1202.477
1.7600,0.42772,1197.229,1200.776
1.7700,0.41074,1201.103,1197.499
1.7800,0.45346,1199.829,1198.458
1.7900,0.44202,1199.964,1198.279
1.8000,0.42861,1201.535,1196.813
1.8100,0.44877,1200.708,1197.344
1.8200,0.45193,1199.646,1198.161
1.8300,0.41151,1203.108,1195.051
1.8400,0.43353,1203.715,1194.175
1.8500,0.46707,1200.595,1196.565
1.8600,0.38808,1206.451,1191.252
1.8700,0.49626,1199.784,1196.562
1.8800,0.42927,1201.265,1195.222
1.8900,0.46116,1199.090,1197.004
1.9000,0.44554,1198.899,1197.216
1.9100,0.43166,1200.241,1196.083
1.9200,0.44685,1199.757,1196.455
1.9300,0.43587,1200.528,1195.755
1.9400,0.48826,1195.516,1200.132
1.9500,0.47245,1192.896,1202.828
1.9600,0.41458,1196.917,1199.847
1.9700,0.46227,1195.241,1201.572
1.9800,0.45807,1194.257,1202.829
1.9900,0.46448,1192.725,1204.660
2.0000,0.39567,1198.875,1199.790
2.0100,0.42557,1200.970,1197.977
2.0200,0.41523,1203.904,1195.233
2.0300,0.48024,1199.392,1198.854
2.0400,0.44537,1199.260,1198.985
2.0500,0.47127,1196.341,1201.607
2.0600,0.41819,1199.572,1199.018
2.0700,0.40868,1203.407,1195.604
2.0800,0.47780,1199.231,1198.977
2.0900,0.40901,1203.068,1195.596
2.1000,0.43407,1203.670,1194.754
2.1100,0.46346,1200.997,1196.775
2.1200,0.49726,1195.011,1201.984
2.1300,0.40099,1200.271,1197.722
2.1400,0.45115,1199.393,1198.451
2.1500,0.46022,1197.650,1200.027
2.1600,0.43164,1199.244,1198.792
2.1700,0.43599,1200.156,1198.020
2.1800,0.41366,1203.367,1195.123
2.1900,0.48181,1198.756,1198.900
2.2000,0.41841,1201.632,1196.429
2.2100,0.41908,1204.050,1194.111
2.2200,0.42775,1205.196,1192.711
2.2300,0.46975,1201.623,1195.411
2.2400,0.47261,1198.210,1198.291
2.2500,0.42167,1200.777,1196.156
2.2600,0.45019,1199.909,1196.847
2.2700,0.44745,1199.454,1197.249
2.2800,0.41606,1202.464,1194.611
2.2900,0.46426,1199.842,1196.714
2.3000,0.50347,1193.318,1202.523
2.3100,0.43915,1194.651,1201.922
2.3200,0.47594,1191.834,1204.890
2.3300,0.40461,1197.145,1200.874
2.3400,0.43126,1198.870,1199.571
2.3500,0.45756,1197.517,1200.852
2.3600,0.43933,1198.327,1200.329
2.3700,0.42203,1200.909,1198.156
2.3800,0.44720,1200.418,1198.487
2.3900,0.41712,1203.252,1195.906
2.4000,0.45806,1201.262,1197.365
2.4100,0.42711,1202.889,1195.787
2.4200,0.42203,1204.842,1193.776
2.4300,0.42593,1206.100,1192.213
2.4400,0.48336,1200.949,1196.243
2.4500,0.43268,1201.972,1195.244
2.4600,0.49961,1195.600,1200.733
2.4700,0.46189,1194.175,1202.388
2.4800,0.47695,1191.321,1205.438
2.4900,0.39713,1197.523,1200.682
2.5000,0.46793,1195.233,1202.922
2.5100,0.43229,1197.123,1201.646
2.5200,0.44149,1197.773,1201.303
2.5300,0.43927,1198.584,1200.757
2.5400,0.45442,1197.649,1201.692
2.5500,0.43228,1199.244,1200.459
2.5600,0.40095,1204.026,1196.248
2.5700,0.45602,1202.192,1197.498
2.5800,0.43987,1202.346,1197.146
2.5900,0.42996,1203.547,1195.852
2.6000,0.46180,1201.128,1197.673
2.6100,0.47944,1197.115,1201.131
2.6200,0.45096,1196.731,1201.718
2.6300,0.41170,1200.662,1198.499
2.6400,0.48608,1196.006,1202.568
2.6500,0.44759,1196.152,1202.779
2.6600,0.41033,1200.327,1199.391
2.6700,0.42760,1202.075,1197.788
2.6800,0.45124,1201.022,1198.523
2.6900,0.42999,1202.410,1197.182
2.7000,0.44927,1201.518,1197.748
2.7100,0.47798,1197.628,1201.062
2.7200,0.47507,1194.577,1203.977
2.7300,0.44385,1195.329,1203.777
2.7400,0.40922,1199.748,1200.246
2.7500,0.45647,1198.459,1201.397
2.7600,0.46023,1196.937,1202.869
2.7700,0.45224,1196.493,1203.518
